timestep	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
48600	-13454.98829	366.3177742	372.4324494
48700	-13459.38303	392.8916588	381.3897355
48800	-13584.36028	368.8726632	362.253389
48900	-13491.71894	386.2124551	349.3067612
49000	-13537.96256	351.546345	381.3234588
49100	-13636.29402	367.8069928	391.522235
49200	-13776.59406	367.8280467	398.4682692
49300	-13824.35674	371.2731247	398.7266567
49400	-13958.19035	328.6818534	397.8401225
49500	-13805.7958	378.3420357	375.6315838
49600	-13757.93339	374.4536135	357.2355688
49700	-13749.95752	364.0835859	365.4949201
49800	-13648.16801	346.6481431	389.559224
49900	-13737.37135	356.5961358	363.3835441
50000	-13786.03824	340.4916056	328.8649351
50100	-14041.9141	364.1023404	353.0377716
50200	-14057.93702	397.5421501	343.7303011
50300	-14099.53189	362.8628732	361.7124235
50400	-14314.75793	358.7313627	387.5686081
50500	-14319.59979	360.3986327	398.1163304
50600	-14601.64787	347.1450435	404.6663468
50700	-14548.19618	400.1210696	382.7391096
50800	-14398.78606	398.7122416	363.9833323
50900	-14341.21195	402.0855598	407.2552466
51000	-14675.28463	391.8977521	388.9810153
51100	-14607.65771	347.5771159	400.0480258
51200	-14634.30369	374.6877429	374.6432744
51300	-14578.54752	361.6319255	366.3652486
51400	-14519.0751	346.2954294	358.9468849
51500	-14498.41496	346.8800312	386.4112267
51600	-14479.31186	349.6359188	374.2464615
51700	-14559.52414	341.0367799	356.6136161
51800	-14524.24954	358.452789	357.1756171
51900	-14669.11145	382.7051927	374.4346702
52000	-14704.62357	372.2618894	417.0239111
52100	-14785.59806	372.9165115	377.4753759
52200	-14962.57119	384.7104713	375.5405611
52300	-14780.49528	381.3752677	394.465
52400	-14828.44524	348.2563041	373.4572818
52500	-14897.96516	342.7634795	368.4840946
52600	-14952.53598	368.4519269	342.7390585
52700	-14890.50515	375.5873893	354.8548496
52800	-15115.46872	357.0437649	365.5042423
52900	-14942.65907	370.3421234	349.4910552
53000	-15060.08011	372.5372079	373.9147694
53100	-15149.16891	396.2480212	364.1688844
53200	-15177.42941	377.9162781	385.5999069
53300	-15283.08916	373.1034824	411.9123366
53400	-15311.69744	385.8286609	341.0550675
53500	-15253.22061	400.0288438	374.4829158
53600	-15251.08104	392.6051472	363.0677352
53700	-15325.60704	396.0285363	388.0408148
53800	-15291.85368	387.9918112	364.0666818
53900	-15327.44789	371.441479	383.021856
54000	-15350.60876	423.4046339	371.2854683
54100	-15223.35019	382.1269111	388.8974777
54200	-15224.08547	384.621709	387.3491407
54300	-15355.2745	390.9528976	383.382423
