timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
2970	0.7729275924	5178.719144	77.67922304	0
2980	0.9866222499	5156.679021	99.15553611	0
2990	1.044991792	5150.179653	105.0216751	0
3000	0.7860922786	5175.782939	79.002274	0
3010	0.6511103427	5189.060053	65.43658944	0
3020	0.7641354195	5177.626842	76.79560966	0
3030	0.685487695	5185.667711	68.89151335	0
3040	0.7208433895	5181.949307	72.44476065	0
3050	0.8263722247	5169.335701	83.05040858	0
3060	0.8205314584	5169.119672	82.46341156	0
3070	0.8593840961	5165.270287	86.36810166	0
3080	0.8075196025	5170.933299	81.15572005	0
3090	0.7902408726	5172.876162	79.4192077	0
3100	0.8568640547	5166.281947	86.1148375	0
3110	0.9768071411	5154.114943	98.16911768	0
3120	0.879082554	5163.703547	88.34779668	0
3130	0.7867597496	5172.997834	79.06935483	0
3140	0.8169648651	5170.047341	82.10496894	0
3150	0.7920143134	5172.739189	79.5974385	0
3160	0.7950940902	5172.593478	79.90695607	0
3170	0.7650740418	5175.725037	76.8899412	0
3180	0.6209345682	5190.09896	62.40392411	0
3190	0.7660445314	5175.266664	76.98747541	0
3200	0.7985824821	5171.661617	80.25753945	0
3210	0.9034524616	5160.946051	90.79697239	0
3220	0.8437402347	5166.717406	84.79589359	0
3230	0.841405466	5167.075063	84.56124934	0
3240	0.8279358361	5168.490224	83.20755153	0
3250	0.87939551	5163.586642	88.37924876	0
3260	0.8260702392	5167.408509	83.02005904	0
3270	0.8415174547	5165.933557	84.5725042	0
3280	0.7927002447	5170.059489	79.66637459	0
3290	0.7382210665	5175.638023	74.19121718	0
3300	0.69243975	5180.17926	69.59019487	0
3310	0.8938787035	5160.141536	89.8348097	0
3320	0.7837009421	5171.110777	78.76194468	0
3330	0.6797051445	5181.511677	68.31036702	0
3340	0.7576141999	5173.709571	76.14022709	0
3350	0.8037443123	5169.144118	80.77630339	0
3360	0.8250605959	5167.246942	82.91858989	0
3370	0.8905108929	5160.599441	89.49634474	0
3380	0.8815262869	5161.553707	88.59339183	0
3390	0.6895578608	5180.84807	69.30056502	0
3400	0.8546022514	5164.084835	85.88752627	0
3410	0.9263898016	5156.460853	93.10217507	0
3420	0.7087508786	5178.20834	71.2294633	0
3430	0.7306051272	5175.741692	73.42581528	0
3440	0.8918952332	5158.843596	89.63547093	0
3450	0.8518684847	5162.961774	85.61278271	0
3460	0.64808586	5183.627818	65.13262893	0
3470	0.6764657026	5180.858186	67.98480311	0
3480	0.8510426823	5161.663496	85.52978957	0
3490	0.8090255639	5156.981219	81.30706917	0
3500	0.7504868715	5161.051973	75.42393059	0
3510	0.7259505042	5163.203123	72.95802567	0
3520	0.6872434901	5167.75338	69.06797075	0
3530	0.676203687	5169.035722	67.95847054	0
3540	0.7573885069	5160.929821	76.11754495	0
3550	0.8711674405	5149.417108	87.55232777	0
3560	0.7760284403	5159.037549	77.99085825	0
3570	0.7080752906	5165.897111	71.1615667	0
3580	0.5852150815	5178.481414	58.81411569	0
3590	0.6438265459	5172.596236	64.70456786	0
3600	0.7518490154	5161.999262	75.56082605	0
3610	0.7604579525	5161.082095	76.42602423	0
3620	0.7740614696	5159.624484	77.7931777	0
3630	0.7567308967	5161.207819	76.05145511	0
3640	0.7569125572	5160.929303	76.069712	0
3650	0.6933996637	5166.790441	69.6866662	0
3660	0.8010782574	5155.551461	80.50836486	0
3670	0.7787651304	5157.720018	78.26589561	0
3680	0.8028680696	5155.240869	80.68824099	0
3690	0.7463193035	5160.673437	75.00509	0
3700	0.6991259152	5165.47259	70.26215447	0
3710	0.7027652842	5165.030925	70.62791106	0
3720	0.6818867507	5167.143076	68.52961844	0
3730	0.6344178518	5172.003599	63.75899411	0
3740	0.6483948835	5170.671905	65.16368579	0
3750	0.7231968884	5163.531402	72.68128729	0
3760	0.7290062641	5163.051201	73.26512955	0
3770	0.7919509038	5156.607029	79.59106583	0
3780	0.7446117495	5161.4433	74.83348083	0
3790	0.8436947602	5151.518481	84.7913234	0
3800	0.8127133509	5153.643232	81.67769176	0
3810	0.723738542	5162.945101	72.73572347	0
3820	0.7668540152	5158.796223	77.06882853	0
3830	0.7364593131	5161.886915	74.01416097	0
3840	0.6952617711	5166.049358	69.873808	0
3850	0.5815757682	5175.705057	58.44836471	0
3860	0.7423191613	5159.408255	74.60307571	0
3870	0.7296182549	5160.874335	73.32663462	0
3880	0.7560826956	5157.984098	75.98631091	0
3890	0.6048618587	5173.162443	60.7886168	0
3900	0.6681669688	5166.497517	67.15078036	0
3910	0.6442645326	5168.741015	64.74858553	0
3920	0.7526662074	5157.622686	75.64295385	0
3930	0.8150229891	5151.588715	81.90981041	0
3940	0.7770369046	5155.234377	78.09220892	0
3950	0.6676679354	5166.349984	67.1006275	0
3960	0.6961624799	5163.229139	69.96432923	0
3970	0.759049055	5156.885755	76.28443003	0
3980	0.7724701031	5155.520595	77.63324536	0
3990	0.6578751187	5167.2503	66.11644943	0
4000	0.6559766524	5167.268165	65.92565357	0
4010	0.7511272738	5157.70551	75.48829102	0
4020	0.7450423785	5158.674387	74.87675904	0
4030	0.723859436	5160.40446	72.74787332	0
4040	0.6706821313	5165.624771	67.40355419	0
4050	0.590510795	5173.636771	59.34633489	0
4060	0.7410086892	5158.499467	74.47137327	0
4070	0.8252687163	5149.063478	82.93950599	0
